Index,Ag,Au,Pd,Pt,Rh
1,10.39,4.77,5.96,10.22,68.65
2,9.52,5.91,6.9,11.17,66.5
3,9.08,6.88,9.22,10.69,64.13
4,8.94,7.52,9.15,11.59,62.8
5,8.54,8.54,9.06,12.2,61.67
6,8.13,9.24,11.09,12.01,59.52
7,8.3,11.2,14.09,11.78,54.63
8,8.09,11.49,14.04,12.34,54.04
9,7.42,14.15,14.85,12.53,51.04
10,7.58,15.65,16.38,12.47,47.92
11,7.78,17.39,16.48,12.36,46.0
12,10.74,3.82,6.03,11.62,67.79
13,10.98,4.77,8.09,11.71,64.45
14,11.0,5.5,7.44,12.62,63.43
15,10.07,6.6,8.58,12.38,62.38
16,9.08,7.39,10.42,12.44,60.67
17,9.08,7.78,11.99,12.97,58.18
18,8.81,9.62,12.72,13.21,55.63
19,7.86,11.2,13.75,13.36,53.83
20,7.94,12.63,13.85,13.44,52.14
21,7.67,14.67,16.03,13.32,48.31
22,7.5,15.25,18.25,13.75,45.25
23,7.42,16.71,19.03,13.46,43.39
24,7.29,17.59,21.11,13.57,40.45
25,12.66,3.09,5.91,12.66,65.68
26,11.81,3.37,6.13,13.34,65.34
27,11.48,4.49,7.49,13.14,63.39
28,9.66,5.61,8.41,13.71,62.62
29,10.62,6.41,8.77,13.83,60.37
30,9.5,8.01,10.98,13.8,57.72
31,9.11,8.74,12.27,14.13,55.76
32,8.91,10.02,12.43,14.47,54.17
33,8.43,10.73,15.52,14.37,50.96
34,7.42,12.16,16.49,14.64,49.28
35,6.82,13.26,18.52,14.23,47.17
36,7.87,14.91,19.46,14.49,43.27
37,7.3,16.55,21.65,14.36,40.15
38,6.87,17.81,22.14,14.25,38.93
39,5.97,20.0,24.42,13.77,35.84
40,13.6,2.8,5.87,13.47,64.27
41,12.91,3.16,5.93,13.97,64.03
42,12.94,4.03,6.96,14.29,61.78
43,11.36,5.08,9.12,14.2,60.24
44,10.95,5.16,8.76,14.87,60.25
45,10.67,6.46,10.54,14.76,57.58
46,10.22,7.08,12.26,14.94,55.5
47,9.47,8.01,12.57,16.03,53.92
48,9.74,9.25,15.1,15.75,50.16
49,8.32,11.09,15.45,15.45,49.7
50,8.1,12.34,17.68,15.65,46.22
51,7.97,13.55,19.12,15.34,44.02
52,7.13,14.05,22.22,15.3,41.3
53,7.23,16.55,21.45,16.08,38.69
54,6.56,17.87,24.43,15.61,35.52
55,4.99,19.42,26.77,15.22,33.6
56,6.7,19.63,27.71,14.55,31.41
57,15.13,2.4,5.55,14.12,62.8
58,13.87,2.13,6.1,14.79,63.11
59,13.15,2.84,7.77,15.99,60.24
60,12.55,4.06,8.0,15.87,59.53
61,12.41,4.46,8.79,15.9,58.44
62,10.44,4.55,10.27,16.67,58.08
63,10.23,5.82,11.82,17.11,55.03
64,10.47,7.2,12.93,16.86,52.54
65,10.13,7.55,14.36,17.68,50.28
66,9.22,8.65,15.89,17.45,48.79
67,8.82,10.85,17.1,17.46,45.77
68,7.74,11.51,19.44,17.06,44.25
69,6.8,12.82,20.58,17.28,42.52
70,7.81,14.32,22.13,16.92,38.83
71,7.3,15.09,24.09,17.03,36.5
72,5.69,16.82,26.3,16.82,34.36
73,6.08,17.76,27.98,16.06,32.12
74,6.05,19.21,29.74,15.79,29.21
75,5.69,20.5,30.52,15.49,27.79
76,14.98,1.8,6.24,16.09,60.89
77,13.83,2.5,6.59,16.6,60.47
78,14.15,2.86,7.48,17.28,58.23
79,13.93,3.11,8.46,17.41,57.09
80,12.5,4.11,10.03,17.43,55.92
81,12.13,5.04,11.19,17.91,53.73
82,11.63,5.98,12.28,17.93,52.18
83,11.3,6.96,14.43,18.43,48.87
84,11.11,7.76,14.81,18.52,47.8
85,9.92,9.45,16.69,18.27,45.67
86,8.1,10.09,18.35,18.65,44.8
87,9.14,11.34,19.63,18.95,40.95
88,7.94,12.23,24.03,18.03,37.77
89,7.8,13.81,23.61,18.04,36.75
90,6.73,14.9,25.51,18.16,34.69
91,6.18,15.91,27.79,17.81,32.3
92,6.22,17.05,29.95,17.51,29.26
93,7.24,18.22,30.84,16.59,27.1
94,6.13,19.66,32.56,16.49,25.16
95,16.56,1.88,5.78,17.19,58.59
96,16.07,1.67,6.43,17.62,58.21
97,15.37,2.54,6.42,18.21,57.46
98,14.61,2.89,7.91,18.72,55.86
99,12.75,3.36,10.18,19.57,54.14
100,12.57,3.9,9.83,19.8,53.9
101,12.14,4.38,11.51,20.9,51.06
102,10.77,5.47,13.02,20.1,50.64
103,11.53,6.54,13.77,20.14,48.02
104,10.31,7.78,15.37,20.61,45.93
105,9.64,8.78,17.9,20.31,43.37
106,8.59,9.11,20.1,20.27,41.92
107,8.06,11.2,20.83,20.24,39.69
108,8.68,12.48,23.51,19.17,36.17
109,8.01,13.35,24.85,19.71,34.09
110,7.71,14.56,27.19,18.63,31.91
111,7.09,15.64,29.09,18.91,29.27
112,6.46,16.77,31.11,17.78,27.88
113,5.64,18.16,33.61,17.95,24.63
114,4.58,19.04,35.66,17.11,23.61
115,5.01,20.48,36.38,15.9,22.22
116,16.81,0.97,6.67,18.89,56.67
117,16.01,1.84,8.07,19.26,54.82
118,15.52,1.88,8.89,20.03,53.69
119,15.5,2.1,9.3,20.38,52.71
120,14.58,3.42,9.08,21.13,51.79
121,13.33,4.15,10.67,21.19,50.67
122,12.22,4.32,12.82,22.06,48.58
123,12.39,5.51,12.74,22.2,47.16
124,10.82,6.1,17.07,21.95,44.05
125,9.83,6.99,18.15,22.5,42.53
126,10.1,8.19,19.34,21.78,40.59
127,10.2,8.81,20.71,22.57,37.71
128,8.25,11.0,22.59,21.41,36.74
129,7.58,11.53,26.03,20.92,33.94
130,7.81,12.08,26.95,21.56,31.6
131,7.57,13.4,28.54,20.58,29.9
132,6.9,15.52,30.79,19.95,26.85
133,6.43,15.15,33.2,19.71,25.52
134,5.97,17.08,34.77,18.93,23.25
135,6.48,19.01,36.07,17.71,20.73
136,6.04,18.11,38.85,17.59,19.42
137,17.98,1.53,6.89,20.28,53.32
138,16.43,2.14,7.43,21.29,52.71
139,16.09,1.6,8.38,22.07,51.86
140,14.57,1.82,8.65,23.22,51.75
141,14.5,2.81,10.06,23.67,48.96
142,13.45,3.36,12.03,23.93,47.22
143,13.42,4.63,13.26,23.64,45.05
144,11.54,5.05,15.44,23.95,44.01
145,11.78,5.8,15.94,24.46,42.03
146,10.49,7.45,17.63,24.47,39.97
147,9.45,7.56,20.47,24.41,38.11
148,9.66,8.84,21.93,24.22,35.35
149,7.48,9.53,24.3,23.74,34.95
150,7.66,11.2,25.74,23.58,31.83
151,8.1,11.46,28.26,22.33,29.84
152,7.57,13.2,30.1,21.94,27.18
153,6.26,14.15,32.25,22.27,25.06
154,5.98,14.96,33.97,21.37,23.72
155,4.39,16.53,36.4,19.87,22.8
156,5.49,16.86,38.04,19.02,20.59
157,4.58,18.75,40.21,17.71,18.75
158,17.03,1.01,6.49,22.8,52.67
159,17.21,1.47,8.38,23.24,49.71
160,15.98,1.45,8.98,24.57,49.01
161,14.62,1.59,9.55,25.47,48.77
162,14.74,2.15,12.59,25.32,45.21
163,13.97,3.97,11.59,26.19,44.29
164,12.35,3.63,15.12,26.6,42.3
165,12.37,5.08,15.93,25.76,40.85
166,11.57,4.8,18.05,25.95,39.63
167,10.4,5.66,18.8,26.64,38.5
168,10.53,7.31,20.91,26.61,34.65
169,10.12,8.13,22.72,25.04,34.0
170,9.17,8.99,25.36,25.54,30.94
171,7.5,10.12,27.75,25.13,29.49
172,8.36,10.98,29.62,24.04,27.0
173,7.89,12.78,30.45,23.87,25.0
174,7.68,13.69,33.2,22.82,22.61
175,6.69,14.37,35.43,22.05,21.46
176,5.6,14.67,38.42,21.24,20.08
177,5.02,16.74,39.12,19.87,19.25
178,5.36,17.48,41.26,19.11,16.78
179,17.88,1.57,8.44,24.46,47.64
180,16.89,1.06,9.5,25.49,47.06
181,16.53,1.91,10.02,26.07,45.47
182,15.47,2.64,11.27,26.14,44.48
183,14.89,2.98,12.77,26.95,42.41
184,14.17,2.78,13.06,28.33,41.67
185,13.63,3.26,14.96,28.3,39.85
186,12.65,3.81,17.07,28.35,38.11
187,11.97,4.69,18.12,27.99,37.22
188,11.35,6.07,20.22,27.99,34.37
189,9.91,6.91,22.37,28.08,32.73
190,9.57,7.41,23.92,27.47,31.64
191,8.61,8.26,27.07,27.42,28.65
192,8.95,9.88,28.7,25.93,26.54
193,7.71,10.79,31.34,26.2,23.97
194,7.31,11.54,33.08,25.19,22.88
195,6.33,12.48,35.2,24.02,21.97
196,6.22,13.25,36.55,23.49,20.48
197,5.94,14.56,37.93,22.8,18.77
198,6.26,14.14,40.61,21.21,17.78
199,5.68,15.46,42.66,20.16,16.05
200,18.92,0.71,7.97,27.31,45.09
201,17.87,0.77,7.09,28.81,45.45
202,16.14,1.71,9.43,29.14,43.57
203,15.61,1.33,11.05,30.04,41.97
204,15.03,1.04,14.14,30.36,39.43
205,13.75,2.54,13.75,30.34,39.61
206,12.92,3.34,16.41,30.4,36.93
207,11.91,3.53,16.62,31.62,36.32
208,11.75,4.7,19.89,29.84,33.82
209,10.83,5.68,20.78,30.55,32.15
210,9.67,6.02,23.93,30.11,30.27
211,8.05,7.3,26.08,29.51,29.06
212,8.84,8.64,27.7,28.88,25.93
213,8.55,9.27,28.73,28.36,25.09
214,6.91,10.46,31.03,27.66,23.94
215,7.41,10.85,33.09,26.76,21.88
216,5.74,11.48,35.74,26.48,20.56
217,6.03,12.9,38.02,24.29,18.76
218,6.74,13.48,39.14,23.41,17.23
219,5.58,14.34,41.43,22.31,16.33
220,4.37,15.18,44.07,21.21,15.18
221,18.68,-0.15,8.12,29.86,43.49
222,17.79,0.53,9.22,30.57,41.9
223,15.99,0.47,11.49,31.99,40.06
224,15.42,1.59,12.25,31.41,39.34
225,14.22,1.78,14.07,31.41,38.52
226,13.66,2.35,15.54,32.18,36.26
227,12.84,3.11,16.34,33.33,34.37
228,13.68,3.64,17.03,32.17,33.48
229,11.76,2.86,20.67,33.07,31.64
230,11.44,4.65,21.81,31.91,30.19
231,9.79,5.46,25.04,32.26,27.45
232,10.0,6.55,26.21,31.9,25.34
233,8.79,7.65,28.99,30.13,24.43
234,8.12,8.12,30.19,30.36,23.21
235,8.39,9.35,31.61,29.52,21.13
236,6.21,9.98,35.22,29.0,19.59
237,6.75,11.09,36.33,27.49,18.33
238,5.7,11.89,39.03,25.96,17.42
239,5.47,12.89,41.99,24.61,15.04
240,5.21,13.43,42.28,24.05,15.03
241,4.81,15.03,44.69,22.04,13.43
242,16.89,-0.58,10.19,33.48,40.03
243,17.67,1.34,10.84,33.07,37.08
244,16.2,0.82,11.95,34.21,36.82
245,14.98,1.66,14.67,34.49,34.19
246,14.0,2.33,15.8,33.93,33.93
247,13.47,2.38,17.43,34.71,32.01
248,12.32,2.91,19.87,34.04,30.86
249,11.62,3.87,21.04,34.18,29.29
250,11.01,4.37,21.85,34.97,27.8
251,8.97,5.67,25.46,33.51,26.39
252,9.86,5.08,27.43,33.44,24.19
253,8.25,6.6,29.37,32.84,22.94
254,7.55,8.18,31.45,31.76,21.07
255,7.03,7.84,34.8,31.37,18.95
256,6.27,8.67,35.42,30.63,19.0
257,5.99,9.93,38.36,28.77,16.95
258,4.35,11.18,40.22,27.8,16.46
259,5.41,11.38,42.35,26.49,14.37
260,4.58,13.37,43.22,25.64,13.19
261,18.08,0.33,10.78,35.49,35.32
262,17.18,0.73,11.79,35.23,35.08
263,16.15,1.27,13.07,35.93,33.58
264,14.74,0.8,14.26,37.98,32.21
265,14.34,2.3,16.24,36.27,30.85
266,13.79,2.24,16.9,36.9,30.17
267,12.14,2.88,20.61,36.1,28.27
268,10.88,3.33,22.28,36.32,27.19
269,11.04,3.46,23.89,35.75,25.86
270,9.42,4.96,25.45,35.7,24.46
271,8.6,5.03,28.25,35.39,22.73
272,9.13,5.83,30.55,33.39,21.1
273,7.45,6.81,32.65,33.44,19.65
274,6.86,8.03,34.78,31.94,18.39
275,6.95,7.97,36.78,31.19,17.12
276,6.5,9.14,38.66,29.88,15.82
277,5.05,10.29,40.78,28.93,14.95
278,4.83,11.07,43.26,27.57,13.28
279,5.09,12.55,43.64,25.64,13.09
280,18.54,0.69,12.82,37.09,30.85
281,15.81,0.62,14.57,38.14,30.85
282,15.43,0.48,15.43,39.55,29.1
283,14.1,1.48,17.38,38.2,28.85
284,13.0,1.99,19.11,38.53,27.37
285,11.91,2.63,21.33,37.81,26.32
286,10.66,2.16,23.49,38.64,25.04
287,10.04,3.69,24.37,38.11,23.78
288,10.48,3.17,27.14,37.14,22.06
289,8.86,5.52,28.76,35.79,21.07
290,8.75,6.03,30.56,35.87,18.79
291,7.43,5.98,33.15,35.51,17.93
292,6.7,6.87,34.88,34.71,16.84
293,6.2,7.3,37.04,33.39,16.06
294,6.6,8.33,39.06,31.25,14.76
295,6.29,9.52,40.65,30.32,13.23
296,5.12,10.07,43.34,28.67,12.8
297,15.42,0.61,14.05,40.31,29.62
298,14.24,0.82,16.2,40.43,28.31
299,14.26,1.41,18.18,39.97,26.18
300,11.96,1.43,19.9,40.57,26.14
301,11.31,1.64,20.98,41.52,24.55
302,12.02,2.55,23.34,40.31,21.78
303,9.48,2.69,25.12,40.28,22.43
304,9.56,3.61,27.27,39.34,20.22
305,9.09,4.32,29.81,38.0,18.78
306,8.66,4.95,31.27,37.46,17.67
307,7.45,5.87,32.95,36.25,17.48
308,7.01,6.06,35.04,35.98,15.91
309,6.64,6.64,37.44,34.6,14.69
310,5.88,8.48,39.45,32.87,13.32
311,4.63,8.56,42.42,31.55,12.83
312,14.33,-0.16,15.78,43.96,26.09
313,13.83,1.18,17.54,43.34,24.11
314,13.06,0.0,20.0,43.23,23.71
315,12.69,1.15,21.91,42.01,22.24
316,10.06,1.62,24.19,42.53,21.59
317,10.16,2.67,26.34,41.04,19.79
318,8.98,2.99,28.14,40.87,19.01
319,9.51,3.11,30.0,40.49,16.89
320,8.13,4.84,32.87,38.41,15.74
321,7.96,4.52,34.63,38.22,14.66
322,6.61,5.71,36.43,37.5,13.75
323,6.44,5.61,38.45,36.47,13.04
324,6.18,6.73,40.55,33.82,12.73
325,13.26,0.57,19.13,45.08,21.97
326,12.4,0.95,21.46,43.88,21.3
327,12.32,0.96,22.56,44.16,20.0
328,10.8,1.77,24.42,44.78,18.23
329,10.05,2.21,27.26,42.76,17.72
330,9.09,1.72,28.99,42.54,17.67
331,8.96,3.36,31.04,40.48,16.16
332,6.61,3.83,33.57,40.7,15.3
333,7.53,3.85,35.45,39.8,13.38
334,5.99,5.24,38.01,39.14,11.61
335,5.79,5.79,39.34,36.86,12.23
336,11.11,0.76,24.05,45.51,18.57
337,10.09,0.78,24.53,46.58,18.01
338,9.3,1.83,26.76,44.65,17.46
339,8.86,1.77,29.79,45.09,14.49
340,7.81,2.43,31.25,43.06,15.45
341,7.41,3.87,33.0,42.09,13.64
342,7.59,3.39,36.35,40.06,12.6
